Currency,Round to nearest,Rates,Charm
SVC,10,9.1508,0.00,,,"(602, 'SVC', 0, 10, 0, 0, 0, 0, 22),"
NOK,10,9.2003,0.00,,,"(602, 'NOK', 0, 10, 0, 0, 0, 0, 22),"
SEK,10,9.9169,0.00,,,"(602, 'SEK', 0, 10, 0, 0, 0, 0, 22),"
MAD,10,10.0478,0.00,,,"(602, 'MAD', 0, 10, 0, 0, 0, 0, 22),"
BWP,10,11.5735,0.00,,,"(602, 'BWP', 0, 10, 0, 0, 0, 0, 22),"
ZMW,10,13.7107,0.00,,,"(602, 'ZMW', 0, 10, 0, 0, 0, 0, 22),"
SCR,10,14.2915,0.00,,,"(602, 'SCR', 0, 10, 0, 0, 0, 0, 22),"
ZAR,10,15.6232,0.00,,,"(602, 'ZAR', 0, 10, 0, 0, 0, 0, 22),"
SZL,10,15.8959,0.00,,,"(602, 'SZL', 0, 10, 0, 0, 0, 0, 22),"
MVR,10,16.2071,0.00,,,"(602, 'MVR', 0, 10, 0, 0, 0, 0, 22),"
EGP,10,17.3237,0.00,,,"(602, 'EGP', 0, 10, 0, 0, 0, 0, 22),"
MDL,10,18.5378,0.00,,,"(602, 'MDL', 0, 10, 0, 0, 0, 0, 22),"
MXN,10,20.6079,0.00,,,"(602, 'MXN', 0, 10, 0, 0, 0, 0, 22),"
CZK,10,24.3162,0.00,,,"(602, 'CZK', 0, 10, 0, 0, 0, 0, 22),"
HNL,10,25.6409,0.00,,,"(602, 'HNL', 0, 10, 0, 0, 0, 0, 22),"
ETB,10,30.5998,0.00,,,"(602, 'ETB', 0, 10, 0, 0, 0, 0, 22),"
THB,10,32.1909,0.00,,,"(602, 'THB', 0, 10, 0, 0, 0, 0, 22),"
TWD,10,32.7759,0.00,,,"(602, 'TWD', 0, 10, 0, 0, 0, 0, 22),"
NIO,10,35.0609,0.00,,,"(602, 'NIO', 0, 10, 0, 0, 0, 0, 22),"
MUR,10,37.8466,0.00,,,"(602, 'MUR', 0, 10, 0, 0, 0, 0, 22),"
UYU,10,38.2970,0.00,,,"(602, 'UYU', 0, 10, 0, 0, 0, 0, 22),"
GMD,10,52.3848,0.00,,,"(602, 'GMD', 0, 10, 0, 0, 0, 0, 22),"
DOP,10,53.5035,0.00,,,"(602, 'DOP', 0, 10, 0, 0, 0, 0, 22),"
PHP,10,54.7220,0.00,,,"(602, 'PHP', 0, 10, 0, 0, 0, 0, 22),"
ARS,10,57.6284,0.00,,,"(602, 'ARS', 0, 10, 0, 0, 0, 0, 22),"
RUB,100,68.9910,0.00,,,"(602, 'RUB', 0, 100, 0, 0, 0, 0, 22),"
KGS,100,72.9719,0.00,,,"(602, 'KGS', 0, 100, 0, 0, 0, 0, 22),"
INR,100,75.1574,0.00,,,"(602, 'INR', 0, 100, 0, 0, 0, 0, 22),"
BDT,100,88.3973,0.00,,,"(602, 'BDT', 0, 100, 0, 0, 0, 0, 22),"
HTG,100,99.7188,0.00,,,"(602, 'HTG', 0, 100, 0, 0, 0, 0, 22),"
CVE,100,104.0696,0.00,,,"(602, 'CVE', 0, 100, 0, 0, 0, 0, 22),"
JPY,100,109.0715,0.00,,,"(602, 'JPY', 0, 100, 0, 0, 0, 0, 22),"
RSD,100,111.2728,0.00,,,"(602, 'RSD', 0, 100, 0, 0, 0, 0, 22),"
XPF,100,112.6841,0.00,,,"(602, 'XPF', 0, 100, 0, 0, 0, 0, 22),"
ALL,100,114.2211,0.00,,,"(602, 'ALL', 0, 100, 0, 0, 0, 0, 22),"
NPR,100,119.8304,0.00,,,"(602, 'NPR', 0, 100, 0, 0, 0, 0, 22),"
VUV,100,122.9645,0.00,,,"(602, 'VUV', 0, 100, 0, 0, 0, 0, 22),"
DZD,100,125.4284,0.00,,,"(602, 'DZD', 0, 100, 0, 0, 0, 0, 22),"
ISK,100,130.6665,0.00,,,"(602, 'ISK', 0, 100, 0, 0, 0, 0, 22),"
JMD,100,141.3102,0.00,,,"(602, 'JMD', 0, 100, 0, 0, 0, 0, 22),"
PKR,100,167.3736,0.00,,,"(602, 'PKR', 0, 100, 0, 0, 0, 0, 22),"
DJF,100,185.8061,0.00,,,"(602, 'DJF', 0, 100, 0, 0, 0, 0, 22),"
LKR,100,187.6628,0.00,,,"(602, 'LKR', 0, 100, 0, 0, 0, 0, 22),"
GYD,100,218.7971,0.00,,,"(602, 'GYD', 0, 100, 0, 0, 0, 0, 22),"
YER,100,261.7410,0.00,,,"(602, 'YER', 0, 100, 0, 0, 0, 0, 22),"
HUF,100,309.4482,0.00,,,"(602, 'HUF', 0, 100, 0, 0, 0, 0, 22),"
MRO,100,373.2436,0.00,,,"(602, 'MRO', 0, 100, 0, 0, 0, 0, 22),"
KMF,100,459.6541,0.00,,,"(602, 'KMF', 0, 100, 0, 0, 0, 0, 22),"
AMD,100,497.5641,0.00,,,"(602, 'AMD', 0, 100, 0, 0, 0, 0, 22),"
CRC,100,591.1205,0.00,,,"(602, 'CRC', 0, 100, 0, 0, 0, 0, 22),"
SOS,1000,606.3902,0.00,,,"(602, 'SOS', 0, 1000, 0, 0, 0, 0, 22),"
XOF,1000,619.7828,0.00,,,"(602, 'XOF', 0, 1000, 0, 0, 0, 0, 22),"
XAF,1000,619.7832,0.00,,,"(602, 'XAF', 0, 1000, 0, 0, 0, 0, 22),"
CLP,1000,746.5919,0.00,,,"(602, 'CLP', 0, 1000, 0, 0, 0, 0, 22),"
MWK,1000,762.0336,0.00,,,"(602, 'MWK', 0, 1000, 0, 0, 0, 0, 22),"
RWF,1000,960.9034,0.00,,,"(602, 'RWF', 0, 1000, 0, 0, 0, 0, 22),"
KRW,1000,1263.5327,0.00,,,"(602, 'KRW', 0, 1000, 0, 0, 0, 0, 22),"
LBP,1000,1581.9985,0.00,,,"(602, 'LBP', 0, 1000, 0, 0, 0, 0, 22),"
